Date,Open,High,Low,Fear Greed
3/25/2013,,,,51
3/26/2013,,,,58
3/27/2013,,,,58
3/28/2013,,,,66
4/1/2013,,,,66
4/2/2013,,,,68
4/3/2013,,,,69
4/4/2013,,,,82
4/5/2013,,,,82
4/8/2013,,,,80
4/9/2013,,,,81
4/10/2013,,,,85
4/11/2013,,,,85
4/12/2013,,,,86
4/15/2013,,,,89
4/16/2013,,,,85
4/17/2013,,,,86
4/18/2013,,,,89
4/19/2013,,,,89
4/22/2013,,,,92
4/23/2013,,,,92
4/24/2013,,,,91
4/25/2013,,,,93
4/26/2013,,,,94
4/29/2013,,,,93
4/30/2013,,,,89
5/1/2013,,,,88
5/2/2013,,,,80
5/3/2013,,,,88
5/6/2013,,,,81
5/7/2013,,,,85
5/8/2013,,,,83
5/9/2013,,,,82
5/10/2013,,,,82
5/13/2013,,,,83
5/14/2013,,,,87
5/15/2013,,,,84
5/16/2013,,,,81
5/17/2013,,,,79
5/20/2013,,,,68
5/21/2013,,,,78
5/22/2013,,,,62
5/23/2013,,,,61
5/24/2013,,,,56
5/28/2013,,,,61
5/29/2013,,,,60
5/30/2013,,,,60
5/31/2013,,,,71
6/3/2013,,,,69
6/4/2013,,,,73
6/5/2013,,,,82
6/6/2013,,,,79
6/7/2013,,,,77
6/10/2013,,,,77
6/11/2013,,,,79
6/12/2013,,,,77
6/13/2013,,,,70
6/14/2013,,,,73
6/17/2013,,,,69
6/18/2013,,,,69
6/19/2013,,,,69
6/20/2013,,,,70
6/21/2013,,,,68
6/24/2013,,,,70
6/25/2013,,,,72
6/26/2013,,,,63
6/27/2013,,,,63
6/28/2013,,,,59
7/1/2013,,,,55
7/2/2013,,,,52
7/3/2013,,,,53
7/5/2013,,,,56
7/8/2013,,,,56
7/9/2013,,,,57
7/10/2013,,,,57
7/11/2013,,,,41
7/12/2013,,,,52
7/15/2013,,,,47
7/16/2013,,,,35
7/17/2013,,,,41
7/18/2013,,,,42
7/19/2013,,,,46
7/22/2013,,,,48
7/23/2013,,,,53
7/24/2013,,,,53
7/25/2013,,,,60
7/26/2013,,,,61
7/29/2013,,,,62
7/30/2013,,,,63
7/31/2013,,,,64
8/1/2013,,,,73
8/2/2013,,,,78
8/5/2013,,,,77
8/6/2013,,,,76
8/7/2013,,,,77
8/8/2013,,,,80
8/9/2013,,,,86
8/12/2013,,,,87
8/13/2013,,,,85
8/14/2013,,,,91
8/15/2013,,,,83
8/16/2013,,,,83
8/19/2013,,,,83
8/20/2013,,,,80
8/21/2013,,,,75
8/22/2013,,,,67
8/23/2013,,,,66
8/26/2013,,,,72
8/27/2013,,,,60
8/28/2013,,,,55
8/29/2013,,,,48
8/30/2013,,,,32
9/3/2013,,,,34
9/4/2013,,,,40
9/5/2013,,,,34
9/6/2013,,,,31
9/9/2013,,,,30
9/10/2013,,,,30
9/11/2013,,,,29
9/12/2013,,,,24
9/13/2013,,,,24
9/16/2013,,,,21
9/17/2013,,,,19
9/18/2013,,,,19
9/19/2013,,,,18
9/20/2013,,,,19
9/23/2013,,,,20
9/24/2013,,,,21
9/25/2013,,,,22
9/26/2013,,,,25
9/27/2013,,,,29
9/30/2013,,,,30
10/1/2013,,,,38
10/2/2013,,,,40
10/3/2013,,,,48
10/4/2013,,,,49
10/7/2013,,,,51
10/8/2013,,,,61
10/9/2013,,,,60
10/10/2013,,,,62
10/11/2013,,,,57
10/14/2013,,,,62
10/15/2013,,,,68
10/16/2013,,,,63
10/17/2013,,,,65
10/18/2013,,,,64
10/21/2013,,,,62
10/22/2013,,,,64
10/23/2013,,,,59
10/24/2013,,,,62
10/25/2013,,,,61
10/28/2013,,,,68
10/29/2013,,,,62
10/30/2013,,,,61
10/31/2013,,,,54
11/1/2013,,,,47
11/4/2013,,,,52
11/5/2013,,,,44
11/6/2013,,,,50
11/7/2013,,,,50
11/8/2013,,,,46
11/11/2013,,,,43
11/12/2013,,,,39
11/13/2013,,,,32
11/14/2013,,,,26
11/15/2013,,,,26
11/18/2013,,,,32
11/19/2013,,,,27
11/20/2013,,,,25
11/21/2013,,,,18
11/22/2013,,,,24
11/25/2013,,,,23
11/26/2013,,,,20
11/27/2013,,,,17
11/29/2013,,,,28
12/2/2013,,,,33
12/3/2013,,,,36
12/4/2013,,,,43
12/5/2013,,,,52
12/6/2013,,,,47
12/9/2013,,,,46
12/10/2013,,,,48
12/11/2013,,,,50
12/12/2013,,,,54
12/13/2013,,,,56
12/16/2013,,,,62
12/17/2013,,,,57
12/18/2013,,,,49
12/19/2013,,,,48
12/20/2013,,,,47
12/23/2013,,,,39
12/24/2013,,,,41
12/26/2013,,,,35
12/27/2013,,,,40
12/30/2013,,,,35
12/31/2013,,,,29
1/2/2014,,,,34
1/3/2014,,,,27
1/6/2014,,,,20
1/7/2014,,,,29
1/8/2014,,,,35
1/9/2014,,,,31
1/10/2014,,,,39
1/13/2014,,,,39
1/14/2014,,,,46
1/15/2014,,,,48
1/16/2014,,,,56
1/17/2014,,,,53
1/21/2014,,,,55
1/22/2014,,,,61
1/23/2014,,,,62
1/24/2014,,,,62
1/27/2014,,,,64
1/28/2014,,,,64
1/29/2014,,,,64
1/30/2014,,,,66
1/31/2014,,,,67
2/3/2014,,,,68
2/4/2014,,,,68
2/5/2014,,,,68
2/6/2014,,,,68
2/7/2014,,,,68
2/10/2014,,,,67
2/11/2014,,,,69
2/12/2014,,,,70
2/13/2014,,,,70
2/14/2014,,,,71
2/18/2014,,,,71
2/19/2014,,,,67
2/20/2014,,,,68
2/21/2014,,,,68
2/24/2014,,,,68
2/25/2014,,,,66
2/26/2014,,,,64
2/27/2014,,,,67
2/28/2014,,,,70
3/3/2014,,,,66
3/4/2014,,,,65
3/5/2014,,,,65
3/6/2014,,,,57
3/7/2014,,,,63
3/10/2014,,,,53
3/11/2014,,,,52
3/12/2014,,,,51
3/13/2014,,,,43
3/14/2014,,,,38
3/17/2014,,,,45
3/18/2014,,,,38
3/19/2014,,,,49
3/20/2014,,,,50
3/21/2014,,,,52
3/24/2014,,,,61
3/25/2014,,,,66
3/26/2014,,,,63
3/27/2014,,,,72
3/28/2014,,,,70
3/31/2014,,,,77
4/1/2014,,,,71
4/2/2014,,,,66
4/3/2014,,,,64
4/4/2014,,,,67
4/7/2014,,,,64
4/8/2014,,,,68
4/9/2014,,,,66
4/10/2014,,,,61
4/11/2014,,,,68
4/14/2014,,,,65
4/15/2014,,,,63
4/16/2014,,,,59
4/17/2014,,,,62
4/21/2014,,,,45
